#{"t_start": 1746507355.086796, "env_id": "MergeEnv-v0"}
r,l,t
-9.60233,20,219.26286
-6.082211,50,219.565393
0.302412,23,219.718242
-23.021714,50,220.020526
-17.310773,20,220.157675
0.280384,22,220.303826
-15.621169,50,220.610209
-17.401857,50,220.913236
-21.443794,20,221.047897
0.475909,24,221.204885
-8.97657,21,221.347032
0.606717,20,221.481407
-12.546731,50,221.784208
-11.744335,50,222.087637
0.031359,25,222.251497
-23.917735,26,222.420474
-11.056825,50,222.723908
-12.178179,50,223.026286
-30.502724,21,223.167668
-11.108169,50,223.468436
-11.065434,50,223.771489
-10.969202,50,224.075412
0.110075,30,224.271957
-0.698692,23,224.428352
-17.093185,50,224.734203
-2.606749,24,224.892913
-5.018207,23,225.045249
-14.158035,50,225.35966
0.586835,30,225.551172
-11.951372,50,225.858094
-11.48548,23,226.010098
-13.859304,50,226.313698
-14.320289,50,226.617172
-13.426473,50,226.919219
-4.343571,24,227.0769
-14.715568,50,227.448532
-11.102878,50,227.754393
0.18255,24,227.922439
-9.33688,20,228.064696
-0.640495,25,228.241465
-7.531409,50,228.561299
-10.681704,50,228.906166
0.569117,29,229.120247
-11.808679,50,229.448619
0.527279,20,229.584782
-10.843148,50,230.218631
-7.384629,50,230.532218
0.281807,22,230.680545
-3.516619,21,230.822159
-11.562167,50,231.1229
-19.255029,50,231.560277
-14.943869,50,231.864295
0.670315,21,232.004649
-16.38943,24,232.164753
0.341266,24,232.322633
-0.063445,32,232.525208
-12.351986,50,232.834207
0.301429,24,232.991544
0.19741,29,233.177957
-19.427006,24,233.336067
0.122082,24,233.493727
-10.998591,50,233.796005
0.586435,20,233.931242
-14.062771,50,234.236583
0.499979,23,234.388947
0.469906,19,234.519126
-14.493949,50,234.822179
-10.422336,50,235.125563
-11.886666,50,235.429495
0.41575,25,235.593885
-12.256414,50,235.896526
-1.607401,27,236.071614
-12.897523,50,236.377038
0.044824,21,236.51867
-7.562307,50,236.821729
-10.68073,50,237.122413
-8.28266,50,237.422681
-3.886944,25,237.586266
-23.449431,28,237.766961
0.306305,28,237.946701
-13.114177,50,238.250952
-15.313568,50,238.556595
-9.836733,50,238.872874
-12.063714,50,239.223987
-11.982084,50,239.537401
-17.260726,50,239.840671
-18.078901,50,240.152894
-2.582823,27,240.33232
-10.569536,50,240.638143
-11.829927,50,240.941637
0.460857,19,241.071161
-12.245226,50,241.372493
-11.309507,19,241.50355
-12.242393,50,241.806769
0.431643,28,241.98658
0.180291,22,242.132007
0.509016,24,242.291186
-4.75331,50,242.592719
-18.28291,20,242.729327
-0.960442,22,242.875443
-16.054827,50,243.515388
-13.126062,50,243.830067
-4.942304,50,244.135486
-10.573092,50,244.438553
-10.621435,24,244.596358
0.42276,21,244.737021
0.661345,20,244.87333
0.368699,25,245.044654
-16.873214,50,245.362438
0.390666,30,245.559257
-35.573469,50,245.865773
-12.879859,50,246.17311
0.434344,20,246.310272
0.516603,28,246.490232
0.286012,26,246.658477
-11.805764,50,247.06205
-12.870624,50,247.365474
0.43598,25,247.528822
-29.636214,50,248.135593
-11.034078,23,248.293864
-5.099015,28,248.477472
0.075479,25,248.640128
0.086147,29,248.826328
-13.71058,33,249.03821
-3.56492,19,249.205276
0.266786,24,249.403946
-0.071455,22,249.570697
-6.908947,50,249.913157
0.180248,27,250.117144
-12.561117,19,250.261088
0.697824,20,250.409108
-11.884281,50,250.71632
-15.45448,50,251.031518
0.359892,25,251.194726
0.406996,26,251.364061
-11.212621,50,251.665326
-2.712698,25,251.829744
0.511913,26,251.997207
-10.575195,50,252.300564
0.253973,23,252.45387
0.422064,28,252.633203
-11.96511,50,252.936585
-20.519656,30,253.128223
0.432928,26,253.297775
0.015448,23,253.450432
0.440756,31,253.646
-2.030343,27,253.820002
-11.259184,50,254.122626
-1.847084,25,254.286055
-12.779174,50,254.589554
0.525664,21,254.730902
-10.61427,50,255.031638
0.316366,31,255.227897
-11.859401,50,255.529129
-3.691912,23,255.682174
-7.894795,24,255.839811
0.44191,26,256.007799
-13.205314,50,256.314313
-0.269488,28,256.495166
-0.644277,20,256.629718
0.702477,19,256.759281
0.440163,20,256.894757
-0.552298,29,257.078889
-12.237968,50,257.721689
0.541271,25,257.884949
-13.836817,50,258.186843
0.251581,20,258.321075
-10.43658,50,258.62446
-10.690585,50,258.926952
0.502602,24,259.093445
-15.891689,50,259.44466
-12.130666,50,259.76511
0.457417,22,259.912746
0.394618,31,260.109581
-7.829961,50,260.428873
-10.434106,50,260.754489
-4.731573,26,260.929269
-10.151101,50,261.23264
0.560581,24,261.389085
-8.3201,19,261.518205
0.386899,29,261.71119
-7.561745,21,261.853908
0.512185,25,262.017731
-11.653355,50,262.320705
0.506409,21,262.461659
-4.070617,26,262.630499
0.357625,22,262.776432
-11.652559,50,263.07823
0.26019,27,263.251386
0.474178,19,263.380694
-10.855815,50,263.681766
0.258014,23,263.834394
0.29998,22,263.979891
0.042379,24,264.137393
0.261319,26,264.305227
-16.632861,50,264.914628
0.653833,21,265.054806
-10.653448,50,265.435755
0.262401,25,265.600002
0.54544,24,265.758701
0.27542,22,265.908353
0.681691,21,266.049748
-10.761049,25,266.213752
-10.055561,28,266.393393
-10.621819,50,266.695203
0.567717,29,266.880767
-12.554844,50,267.182609
0.257198,25,267.345475
-10.417876,23,267.498151
-23.993764,50,267.800484
-0.723053,21,267.941537
-13.689303,50,268.247054
-18.205137,50,268.550031
-8.56562,23,268.701657
-11.726555,50,269.003708
0.331228,20,269.138463
0.638403,20,269.272501
-10.597734,50,269.601437
-5.538223,25,269.766213
0.456409,25,269.928468
0.458788,24,270.086851
-7.570356,24,270.243395
0.228822,21,270.384583
0.305548,29,270.56954
-4.758754,30,270.762186
-10.62797,50,271.462337
-11.441344,50,271.7702
0.255997,24,271.927571
-1.7222,29,272.111887
-6.470094,50,272.417571
-5.744903,50,272.730469
-8.727193,26,272.899028
-10.677752,50,273.20065
-12.747942,50,273.510723
0.392123,23,273.662456
-7.805412,28,273.842994
-10.412484,50,274.145007
-12.852698,50,274.447749
-31.733743,50,274.75
0.24456,23,274.902531
0.400805,26,275.075794
0.501321,30,275.268199
0.182786,20,275.402569
0.348275,23,275.554893
0.463897,24,275.713087
-1.763459,23,275.865158
-12.402012,50,276.165777
-16.553277,50,276.470281
-7.603216,29,276.658319
-10.416172,19,276.788148
0.383328,25,276.951843
-27.130657,50,277.251348
-13.528702,28,277.431409
-0.689904,26,277.599998
-21.509182,50,277.901206
-29.293087,20,278.037666
-10.444661,50,278.338618
-10.620176,50,278.641687
-7.775247,50,278.945624
-10.660573,50,279.249792
-15.805498,50,279.560825
