#{"t_start": 1746507861.963455, "env_id": "MergeEnv-v0"}
r,l,t
-3.977704,30,590.198782
-0.01057,28,590.696083
0.10601,28,591.210458
-0.066173,28,591.700547
0.273128,22,592.109072
0.223698,24,592.538613
0.407651,28,593.084763
0.269442,23,593.497565
-0.262562,29,594.006917
-1.588894,22,594.398857
0.243537,21,594.776052
0.639326,26,595.243842
0.132491,21,595.626092
-9.185123,28,596.114205
0.245473,23,596.519906
-1.868858,24,596.941175
-0.005168,24,597.364896
-9.301294,27,597.835489
-10.115113,24,598.26087
-0.115804,31,598.794871
0.067884,28,599.285741
-0.07097,24,599.715145
-0.175839,27,600.189885
0.61225,20,600.570645
0.223079,21,600.977985
0.450648,29,601.49692
-4.774534,26,601.954397
-9.348949,25,602.394635
0.436945,21,602.765869
-11.222424,22,603.243129
-3.081517,30,603.829498
-4.773087,27,604.301302
-3.32631,32,604.856951
0.800203,20,605.248226
-0.632439,20,605.606265
-0.435632,32,606.163105
-0.127816,31,606.815285
-5.275168,30,607.340073
-6.477896,33,607.912759
-6.822023,24,608.333354
-3.337353,19,608.686927
0.199229,22,609.078422
-1.878506,26,609.53596
0.589466,30,610.070945
0.034032,24,610.49148
-5.274315,32,611.046381
0.701068,21,611.465629
0.031626,28,611.990506
-0.002416,28,612.478755
